Index,Title_x,ID,Rating,Release Year,Duration,Cleaned_Title,Title_y,BoxOfficeMojo_Link,Title,Worldwide Gross,Domestic Gross,International Gross,Director,Cast and Crew
11,11. Batman Begins,tt0372784,8.2,2h 58m,2h 20m,Batman Begins,11. Batman Begins,https://www.boxofficemojo.com/title/tt0372784/,Batman Begins (2005),"$375,406,308","$206,863,479","$168,516,083",Christopher Nolan,"Christian Bale (Bruce Wayne/Batman), Michael Caine (Alfred), Ken Watanabe (Ra's Al Ghul), Liam Neeson (Ducard)"
12,12. Joker,tt7286456,8.4,PG-13,2h 2m,Joker,12. Joker,https://www.boxofficemojo.com/title/tt7286456/,Joker (2019),"$1,078,958,629","$335,477,657","$743,480,625",Todd Phillips,"Joaquin Phoenix (Arthur Fleck), Robert De Niro (Murray Franklin), Zazie Beetz (Sophie Dumond), Frances Conroy (Penny Fleck)"
13,13. Shutter Island,tt1130884,8.2,2003,2h 18m,Shutter Island,13. Shutter Island,https://www.boxofficemojo.com/title/tt1130884/,Shutter Island (2010),"$294,946,844","$128,012,934","$166,889,580",Martin Scorsese,"Leonardo DiCaprio (Teddy Daniels), Emily Mortimer (Rachel 1), Mark Ruffalo (Chuck Aule), Ben Kingsley (Dr. Cawley)"
14,14. The Avengers,tt0848228,8.0,3h 21m,2h 23m,The Avengers,14. The Avengers,https://www.boxofficemojo.com/title/tt0848228/,The Avengers (2012),"$1,520,538,536","$623,357,910","$897,180,626",Joss Whedon,"Robert Downey Jr. (Tony Stark/Iron Man), Chris Evans (Steve Rogers/Captain America), Scarlett Johansson (Natasha Romanoff/Black Widow), Jeremy Renner (Clint Barton/Hawkeye)"
15,15. The Prestige,tt0482571,8.5,PG-13,2h 10m,The Prestige,15. The Prestige,https://www.boxofficemojo.com/title/tt0482571/,The Prestige (2006),"$109,676,311","$53,089,891","$56,586,420",Christopher Nolan,"Christian Bale (Alfred Borden), Hugh Jackman (Robert Angier), Scarlett Johansson (Olivia Wenscombe), Michael Caine (Cutter)"
16,16. The Departed,tt0407887,8.5,2012,2h 31m,The Departed,16. The Departed,https://www.boxofficemojo.com/title/tt0407887/,The Departed (2006),"$291,481,358","$132,399,394","$159,081,058",Martin Scorsese,"Leonardo DiCaprio (Billy), Matt Damon (Colin), Jack Nicholson (Costello), Mark Wahlberg (Dignam)"
17,17. Avatar,tt0499549,7.9,2h 44m,2h 42m,Avatar,17. Avatar,https://www.boxofficemojo.com/title/tt0499549/,Avatar (2009),"$2,923,706,026","$785,221,649","$2,138,484,377",James Cameron,"Sam Worthington (Jake Sully), Zoe Saldana (Neytiri), Sigourney Weaver (Dr. Grace Augustine), Michelle Rodriguez (Trudy Chacón)"
18,18. Avengers: Endgame,tt4154796,8.4,PG-13,3h 1m,Avengers: Endgame,18. Avengers: Endgame,https://www.boxofficemojo.com/title/tt4154796/,Avengers: Endgame (2019),"$2,799,439,100","$858,373,000","$1,941,066,100",Anthony Russo,"Robert Downey Jr. (Tony Stark/Iron Man), Chris Evans (Steve Rogers/Captain America), Mark Ruffalo (Bruce Banner/Hulk), Chris Hemsworth (Thor)"
19,19. Guardians of the Galaxy,tt2015381,8.0,2002,2h 1m,Guardians of the Galaxy,19. Guardians of the Galaxy,https://www.boxofficemojo.com/title/tt2015381/,Guardians of the Galaxy (2014),"$773,350,376","$333,718,600","$439,631,547",James Gunn,"Chris Pratt (Peter Quill), Vin Diesel (Groot), Bradley Cooper (Rocket), Zoe Saldana (Gamora)"
20,20. Avengers: Infinity War,tt4154756,8.4,2h 59m,2h 29m,Avengers: Infinity War,20. Avengers: Infinity War,https://www.boxofficemojo.com/title/tt4154756/,Avengers: Infinity War (2018),"$2,052,415,039","$678,815,482","$1,373,599,557",Anthony Russo,"Robert Downey Jr. (Tony Stark/Iron Man), Chris Hemsworth (Thor), Mark Ruffalo (Bruce Banner/Hulk), Chris Evans (Steve Rogers/Captain America)"
21,21. Pirates of the Caribbean: The Curse of the Black Pearl,tt0325980,8.1,PG-13,2h 23m,Pirates of the Caribbean: The Curse of the Black Pearl,21. Pirates of the Caribbean: The Curse of the Black Pearl,https://www.boxofficemojo.com/title/tt0325980/,Pirates of the Caribbean: The Curse of the Black Pearl (2003),"$654,264,546","$305,413,918","$348,850,097",Gore Verbinski,"Johnny Depp (Jack Sparrow), Geoffrey Rush (Barbossa), Orlando Bloom (Will Turner), Keira Knightley (Elizabeth Swann)"
22,22. WALL·E,tt0910970,8.4,2012,1h 38m,WALL·E,22. WALL·E,https://www.boxofficemojo.com/title/tt0910970/,WALL·E (2008),"$527,403,656","$223,808,164","$303,586,398",Andrew Stanton,"Ben Burtt (WALL·E/M-O), Elissa Knight (EVE), Jeff Garlin (Captain), Fred Willard (Shelby Forthright - BNL CEO)"
23,23. Kill Bill: Vol. 1,tt0266697,8.2,2h 45m,1h 51m,Kill Bill: Vol. 1,23. Kill Bill: Vol. 1,https://www.boxofficemojo.com/title/tt0266697/,Kill Bill: Vol. 1 (2003),"$180,908,413","$70,099,045","$110,807,031",Quentin Tarantino,"Uma Thurman (The Bride), David Carradine (Bill), Daryl Hannah (Elle Driver), Michael Madsen (Budd)"
24,24. V for Vendetta,tt0434409,8.1,R,2h 12m,V for Vendetta,24. V for Vendetta,https://www.boxofficemojo.com/title/tt0434409/,V for Vendetta (2005),"$134,686,457","$70,511,035","$64,175,422",James McTeigue,"Hugo Weaving (V/William Rookwood), Natalie Portman (Evey), Rupert Graves (Dominic), Stephen Rea (Finch)"
25,25. Deadpool,tt1431045,8.0,2013,1h 48m,Deadpool,25. Deadpool,https://www.boxofficemojo.com/title/tt1431045/,Deadpool (2016),"$782,837,347","$363,070,709","$419,766,082",Tim Miller,"Ryan Reynolds (Wade/Deadpool), Morena Baccarin (Vanessa), T.J. Miller (Weasel), Ed Skrein (Ajax)"
