Title,ID,Rating,Release Year,Duration,BoxOfficeMojo_Link
1194. Smokin' Aces,tt0475394,6.6,PG,1h 48m,https://www.boxofficemojo.com/title/tt0475394/
1195. This Is 40,tt1758830,6.2,2012,2h 14m,https://www.boxofficemojo.com/title/tt1758830/
1196. The Grudge,tt0391198,5.9,2h 10m,1h 31m,https://www.boxofficemojo.com/title/tt0391198/
1197. Tower Heist,tt0471042,6.2,PG-13,1h 44m,https://www.boxofficemojo.com/title/tt0471042/
1198. Brooklyn,tt2381111,7.5,2007,1h 57m,https://www.boxofficemojo.com/title/tt2381111/
1199. Horton Hears a Who!,tt0451079,6.8,2h 2m,1h 26m,https://www.boxofficemojo.com/title/tt0451079/
1200. Winter's Bone,tt1399683,7.1,PG-13,1h 40m,https://www.boxofficemojo.com/title/tt1399683/
1201. A Serious Man,tt1019452,7.0,2009,1h 46m,https://www.boxofficemojo.com/title/tt1019452/
1202. Resident Evil: Retribution,tt1855325,5.3,1h 48m,1h 35m,https://www.boxofficemojo.com/title/tt1855325/
1203. Society of the Snow,tt16277242,7.8,PG-13,2h 24m,https://www.boxofficemojo.com/title/tt16277242/
1204. The Count of Monte Cristo,tt0245844,7.7,2018,2h 11m,https://www.boxofficemojo.com/title/tt0245844/
1205. The Invention of Lying,tt1058017,6.4,1h 55m,1h 40m,https://www.boxofficemojo.com/title/tt1058017/
1206. I Saw the Devil,tt1588170,7.8,R,2h 24m,https://www.boxofficemojo.com/title/tt1588170/
1207. Irreversible,tt0290673,7.3,2014,1h 37m,https://www.boxofficemojo.com/title/tt0290673/
1208. Tag,tt2854926,6.5,2h 45m,1h 40m,https://www.boxofficemojo.com/title/tt2854926/
1209. Red Eye,tt0421239,6.5,R,1h 25m,https://www.boxofficemojo.com/title/tt0421239/
1210. Men in Black: International,tt2283336,5.6,2011,1h 54m,https://www.boxofficemojo.com/title/tt2283336/
1211. Foxcatcher,tt1100089,7.0,1h 52m,2h 14m,https://www.boxofficemojo.com/title/tt1100089/
1212. The Great Wall,tt2034800,5.9,PG-13,1h 43m,https://www.boxofficemojo.com/title/tt2034800/
1213. In the Heart of the Sea,tt1390411,6.9,2012,2h 2m,https://www.boxofficemojo.com/title/tt1390411/
1214. 9,tt0472033,7.0,1h 34m,1h 19m,https://www.boxofficemojo.com/title/tt0472033/
1215. Carrie,tt1939659,5.8,PG-13,1h 40m,https://www.boxofficemojo.com/title/tt1939659/
1216. The Predator,tt3829266,5.3,2010,1h 47m,https://www.boxofficemojo.com/title/tt3829266/
1217. The Constant Gardener,tt0387131,7.3,1h 43m,2h 9m,https://www.boxofficemojo.com/title/tt0387131/
1218. I Care a Lot,tt9893250,6.4,R,1h 58m,https://www.boxofficemojo.com/title/tt9893250/
1219. Triple Frontier,tt1488606,6.5,2009,2h 5m,https://www.boxofficemojo.com/title/tt1488606/
1220. Evil Dead Rise,tt13345606,6.5,2h 9m,1h 36m,https://www.boxofficemojo.com/title/tt13345606/
1221. Spring Breakers,tt2101441,5.3,PG-13,1h 34m,https://www.boxofficemojo.com/title/tt2101441/
1222. Hustle,tt8009428,7.3,2006,1h 57m,https://www.boxofficemojo.com/title/tt8009428/
1223. Love and Monsters,tt2222042,6.9,1h 47m,1h 49m,https://www.boxofficemojo.com/title/tt2222042/
1224. The Strangers,tt0482606,6.1,PG-13,1h 26m,https://www.boxofficemojo.com/title/tt0482606/
1225. Into the Woods,tt2180411,5.9,2011,2h 5m,https://www.boxofficemojo.com/title/tt2180411/
1226. It's Kind of a Funny Story,tt0804497,7.1,2h 7m,1h 41m,https://www.boxofficemojo.com/title/tt0804497/
1227. Margin Call,tt1615147,7.1,PG-13,1h 47m,https://www.boxofficemojo.com/title/tt1615147/
1228. Get Hard,tt2561572,6.0,2016,1h 40m,https://www.boxofficemojo.com/title/tt2561572/
1229. Wallace & Gromit: The Curse of the Were-Rabbit,tt0312004,7.5,1h 43m,1h 25m,https://www.boxofficemojo.com/title/tt0312004/
1230. Jack the Giant Slayer,tt1351685,6.3,PG-13,1h 54m,https://www.boxofficemojo.com/title/tt1351685/
1231. Magic Mike,tt1915581,6.1,2010,1h 50m,https://www.boxofficemojo.com/title/tt1915581/
1232. Phantom Thread,tt5776858,7.4,1h 50m,2h 10m,https://www.boxofficemojo.com/title/tt5776858/
1233. Hotel Transylvania 2,tt2510894,6.6,PG-13,1h 29m,https://www.boxofficemojo.com/title/tt2510894/
1234. The Dark Tower,tt1648190,5.6,2004,1h 35m,https://www.boxofficemojo.com/title/tt1648190/
1235. Blended,tt1086772,6.5,2h 11m,1h 57m,https://www.boxofficemojo.com/title/tt1086772/
1236. The Autopsy of Jane Doe,tt3289956,6.8,PG,1h 26m,https://www.boxofficemojo.com/title/tt3289956/
1237. The Thing,tt0905372,6.2,2007,1h 43m,https://www.boxofficemojo.com/title/tt0905372/
1238. The Hunger Games: The Ballad of Songbirds & Snakes,tt10545296,6.7,2h 4m,2h 37m,https://www.boxofficemojo.com/title/tt10545296/
1239. Joy,tt2446980,6.6,R,2h 4m,https://www.boxofficemojo.com/title/tt2446980/
1240. Dumb and Dumber To,tt2096672,5.6,2014,1h 49m,https://www.boxofficemojo.com/title/tt2096672/
1241. Shallow Hal,tt0256380,6.0,1h 52m,1h 54m,https://www.boxofficemojo.com/title/tt0256380/
1242. Reign of Fire,tt0253556,6.2,R,1h 41m,https://www.boxofficemojo.com/title/tt0253556/
1243. Escape Room,tt5886046,6.4,2008,1h 39m,https://www.boxofficemojo.com/title/tt5886046/
1244. Jeepers Creepers,tt0263488,6.2,1h 51m,1h 30m,https://www.boxofficemojo.com/title/tt0263488/
1245. She's Out of My League,tt0815236,6.4,R,1h 44m,https://www.boxofficemojo.com/title/tt0815236/
1246. The Scorpion King,tt0277296,5.5,2010,1h 32m,https://www.boxofficemojo.com/title/tt0277296/
1247. The Shallows,tt4052882,6.3,1h 35m,1h 26m,https://www.boxofficemojo.com/title/tt4052882/
1248. The Last Stand,tt1549920,6.3,R,1h 47m,https://www.boxofficemojo.com/title/tt1549920/
1249. My Big Fat Greek Wedding,tt0259446,6.6,2010,1h 35m,https://www.boxofficemojo.com/title/tt0259446/
1250. Lara Croft: Tomb Raider - The Cradle of Life,tt0325703,5.5,2h 5m,1h 57m,https://www.boxofficemojo.com/title/tt0325703/
1251. R.I.P.D.,tt0790736,5.6,PG,1h 36m,https://www.boxofficemojo.com/title/tt0790736/
1252. The Conjuring: The Devil Made Me Do It,tt7069210,6.3,2008,1h 52m,https://www.boxofficemojo.com/title/tt7069210/
1253. John Q,tt0251160,7.1,1h 36m,1h 56m,https://www.boxofficemojo.com/title/tt0251160/
1254. The Boss Baby,tt3874544,6.3,R,1h 37m,https://www.boxofficemojo.com/title/tt3874544/
1255. Snakes on a Plane,tt0417148,5.5,2023,1h 45m,https://www.boxofficemojo.com/title/tt0417148/
1256. Along Came Polly,tt0343135,6.0,2h 49m,1h 30m,https://www.boxofficemojo.com/title/tt0343135/
1257. Hunt for the Wilderpeople,tt4698684,7.8,R,1h 41m,https://www.boxofficemojo.com/title/tt4698684/
1258. Lights Out,tt4786282,6.3,2017,1h 21m,https://www.boxofficemojo.com/title/tt4786282/
1259. The Big Sick,tt5462602,7.5,1h 58m,2h,https://www.boxofficemojo.com/title/tt5462602/
1260. Carol,tt2402927,7.3,PG-13,1h 58m,https://www.boxofficemojo.com/title/tt2402927/
1261. Still Alice,tt3316960,7.5,2017,1h 41m,https://www.boxofficemojo.com/title/tt3316960/
1262. Green Room,tt4062536,7.0,2h 9m,1h 35m,https://www.boxofficemojo.com/title/tt4062536/
"1263. Hail, Caesar!",tt0475290,6.3,PG-13,1h 46m,https://www.boxofficemojo.com/title/tt0475290/
1264. Mortal Engines,tt1571234,6.1,2001,2h 8m,https://www.boxofficemojo.com/title/tt1571234/
1265. The Rundown,tt0327850,6.7,3h 3m,1h 44m,https://www.boxofficemojo.com/title/tt0327850/
1266. Good Time,tt4846232,7.3,PG-13,1h 42m,https://www.boxofficemojo.com/title/tt4846232/
1267. The Monuments Men,tt2177771,6.1,2004,1h 58m,https://www.boxofficemojo.com/title/tt2177771/
1268. Green Zone,tt0947810,6.8,2h 2m,1h 55m,https://www.boxofficemojo.com/title/tt0947810/
1269. Trainwreck,tt3152624,6.2,PG-13,2h 5m,https://www.boxofficemojo.com/title/tt3152624/
1270. Monster House,tt0385880,6.7,2019,1h 31m,https://www.boxofficemojo.com/title/tt0385880/
1271. Licorice Pizza,tt11271038,7.1,1h 56m,2h 13m,https://www.boxofficemojo.com/title/tt11271038/
1272. Gifted,tt4481414,7.6,R,1h 41m,https://www.boxofficemojo.com/title/tt4481414/
1273. The Edge of Seventeen,tt1878870,7.3,2019,1h 44m,https://www.boxofficemojo.com/title/tt1878870/
1274. The Book Thief,tt0816442,7.5,2h 17m,2h 11m,https://www.boxofficemojo.com/title/tt0816442/
1275. The Recruit,tt0292506,6.6,R,1h 55m,https://www.boxofficemojo.com/title/tt0292506/
1276. Johnny English Reborn,tt1634122,6.3,2007,1h 41m,https://www.boxofficemojo.com/title/tt1634122/
1277. Bronson,tt1172570,7.0,1h 27m,1h 32m,https://www.boxofficemojo.com/title/tt1172570/
1278. Harold & Kumar Escape from Guantanamo Bay,tt0481536,6.5,PG-13,1h 54m,https://www.boxofficemojo.com/title/tt0481536/
1279. King Richard,tt9620288,7.5,2018,2h 24m,https://www.boxofficemojo.com/title/tt9620288/
1280. Capote,tt0379725,7.3,2h 8m,1h 54m,https://www.boxofficemojo.com/title/tt0379725/
1281. Oculus,tt2388715,6.5,PG-13,1h 44m,https://www.boxofficemojo.com/title/tt2388715/
1282. The Exorcism of Emily Rose,tt0404032,6.7,2001,1h 59m,https://www.boxofficemojo.com/title/tt0404032/
1283. Identity Thief,tt2024432,5.7,2h 10m,1h 51m,https://www.boxofficemojo.com/title/tt2024432/
1284. The Hours,tt0274558,7.5,PG-13,1h 50m,https://www.boxofficemojo.com/title/tt0274558/
1285. Elemental,tt15789038,7.0,2009,1h 41m,https://www.boxofficemojo.com/title/tt15789038/
1286. Nerve,tt3531824,6.5,1h 49m,1h 36m,https://www.boxofficemojo.com/title/tt3531824/
1287. Flushed Away,tt0424095,6.6,R,1h 25m,https://www.boxofficemojo.com/title/tt0424095/
1288. Baahubali: The Beginning,tt2631186,8.0,2002,2h 39m,https://www.boxofficemojo.com/title/tt2631186/
1289. Clerks II,tt0424345,7.3,1h 47m,1h 37m,https://www.boxofficemojo.com/title/tt0424345/
1290. Accepted,tt0384793,6.4,R,1h 33m,https://www.boxofficemojo.com/title/tt0384793/
1291. Wild,tt2305051,7.1,2007,1h 55m,https://www.boxofficemojo.com/title/tt2305051/
1292. Saw V,tt1132626,5.8,2h 6m,1h 32m,https://www.boxofficemojo.com/title/tt1132626/
1293. Greenland,tt7737786,6.4,R,1h 59m,https://www.boxofficemojo.com/title/tt7737786/
1294. Let's Be Cops,tt1924435,6.4,2012,1h 44m,https://www.boxofficemojo.com/title/tt1924435/
1295. Kubo and the Two Strings,tt4302938,7.7,2h 38m,1h 41m,https://www.boxofficemojo.com/title/tt4302938/
1296. The Marvels,tt10676048,5.5,PG-13,1h 45m,https://www.boxofficemojo.com/title/tt10676048/
1297. Gamer,tt1034032,5.7,2005,1h 35m,https://www.boxofficemojo.com/title/tt1034032/
1298. The Break-Up,tt0452594,5.8,1h 46m,1h 46m,https://www.boxofficemojo.com/title/tt0452594/
1299. Hairspray,tt0427327,6.7,PG-13,1h 57m,https://www.boxofficemojo.com/title/tt0427327/
1300. Me and Earl and the Dying Girl,tt2582496,7.7,2013,1h 45m,https://www.boxofficemojo.com/title/tt2582496/
1301. Life as We Know It,tt1055292,6.5,1h 54m,1h 54m,https://www.boxofficemojo.com/title/tt1055292/
1302. Matchstick Men,tt0325805,7.3,PG,1h 56m,https://www.boxofficemojo.com/title/tt0325805/
1303. The Mortal Instruments: City of Bones,tt1538403,5.8,2010,2h 10m,https://www.boxofficemojo.com/title/tt1538403/
1304. Where the Crawdads Sing,tt9411972,7.2,1h 43m,2h 5m,https://www.boxofficemojo.com/title/tt9411972/
1305. Paddington,tt1109624,7.3,PG-13,1h 35m,https://www.boxofficemojo.com/title/tt1109624/
1306. Past Lives,tt13238346,7.8,2001,1h 45m,https://www.boxofficemojo.com/title/tt13238346/
1307. Jack Ryan: Shadow Recruit,tt1205537,6.2,1h 32m,1h 45m,https://www.boxofficemojo.com/title/tt1205537/
1308. Night at the Museum: Secret of the Tomb,tt2692250,6.2,PG-13,1h 38m,https://www.boxofficemojo.com/title/tt2692250/
1309. Antichrist,tt0870984,6.5,2010,1h 48m,https://www.boxofficemojo.com/title/tt0870984/
1310. An Education,tt1174732,7.2,1h 58m,1h 40m,https://www.boxofficemojo.com/title/tt1174732/
1311. The Men Who Stare at Goats,tt1234548,6.2,R,1h 34m,https://www.boxofficemojo.com/title/tt1234548/
1312. Aliens vs. Predator: Requiem,tt0758730,4.6,2011,1h 34m,https://www.boxofficemojo.com/title/tt0758730/
1313. Atlantis: The Lost Empire,tt0230011,6.9,1h 40m,1h 35m,https://www.boxofficemojo.com/title/tt0230011/
1314. Doubt,tt0918927,7.5,R,1h 44m,https://www.boxofficemojo.com/title/tt0918927/
1315. Allegiant,tt3410834,5.7,2012,2h,https://www.boxofficemojo.com/title/tt3410834/
1316. The Campaign,tt1790886,6.1,1h 23m,1h 25m,https://www.boxofficemojo.com/title/tt1790886/
1317. Evolution,tt0251075,6.1,R,1h 41m,https://www.boxofficemojo.com/title/tt0251075/
1318. Black Mirror: Bandersnatch,tt9495224,7.1,2017,1h 30m,https://www.boxofficemojo.com/title/tt9495224/
1319. What Happened to Monday,tt1536537,6.8,1h 34m,2h 3m,https://www.boxofficemojo.com/title/tt1536537/
1320. Skyscraper,tt5758778,5.8,R,1h 42m,https://www.boxofficemojo.com/title/tt5758778/
1321. Last Vegas,tt1204975,6.6,2005,1h 45m,https://www.boxofficemojo.com/title/tt1204975/
1322. Treasure Planet,tt0133240,7.2,2h 2m,1h 35m,https://www.boxofficemojo.com/title/tt0133240/
1323. The Hunt,tt8244784,6.6,R,1h 30m,https://www.boxofficemojo.com/title/tt8244784/
1324. House of Wax,tt0397065,5.5,2018,1h 53m,https://www.boxofficemojo.com/title/tt0397065/
1325. 12th Fail,tt23849204,8.8,1h 58m,2h 27m,https://www.boxofficemojo.com/title/tt23849204/
1326. The Walk,tt3488710,7.3,PG,2h 3m,https://www.boxofficemojo.com/title/tt3488710/
1327. Killer Elite,tt1448755,6.4,2013,1h 56m,https://www.boxofficemojo.com/title/tt1448755/
1328. Daybreakers,tt0433362,6.4,1h 40m,1h 38m,https://www.boxofficemojo.com/title/tt0433362/
1329. Bad Moms,tt4651520,6.2,R,1h 40m,https://www.boxofficemojo.com/title/tt4651520/
"1330. 10,000 BC",tt0443649,5.1,2015,1h 49m,https://www.boxofficemojo.com/title/tt0443649/
1331. Wrong Turn,tt0295700,6.1,1h 56m,1h 24m,https://www.boxofficemojo.com/title/tt0295700/
1332. Mr. Bean's Holiday,tt0453451,6.4,PG-13,1h 30m,https://www.boxofficemojo.com/title/tt0453451/
1333. The Equalizer 3,tt17024450,6.8,2005,1h 49m,https://www.boxofficemojo.com/title/tt17024450/
1334. Dirty Grandpa,tt1860213,5.9,2h 9m,1h 42m,https://www.boxofficemojo.com/title/tt1860213/
1335. Swiss Army Man,tt4034354,6.9,PG,1h 37m,https://www.boxofficemojo.com/title/tt4034354/
1336. The Bounty Hunter,tt1038919,5.5,2015,1h 50m,https://www.boxofficemojo.com/title/tt1038919/
1337. The Score,tt0227445,6.8,2h 5m,2h 4m,https://www.boxofficemojo.com/title/tt0227445/
1338. 16 Blocks,tt0450232,6.6,R,1h 42m,https://www.boxofficemojo.com/title/tt0450232/
1339. I Origins,tt2884206,7.3,2016,1h 46m,https://www.boxofficemojo.com/title/tt2884206/
1340. Burnt,tt2503944,6.6,1h 46m,1h 41m,https://www.boxofficemojo.com/title/tt2503944/
1341. Savages,tt1615065,6.4,2017,2h 11m,https://www.boxofficemojo.com/title/tt1615065/
1342. The Host,tt0468492,7.1,2h 9m,2h,https://www.boxofficemojo.com/title/tt0468492/
1343. Dil Bechara,tt8110330,8.3,PG,1h 41m,https://www.boxofficemojo.com/title/tt8110330/
1344. Syriana,tt0365737,6.9,2007,2h 8m,https://www.boxofficemojo.com/title/tt0365737/
1345. Triangle,tt1187064,6.9,1h 33m,1h 39m,https://www.boxofficemojo.com/title/tt1187064/
1346. T2 Trainspotting,tt2763304,7.1,PG,1h 57m,https://www.boxofficemojo.com/title/tt2763304/
1347. The Kids Are All Right,tt0842926,7.0,2011,1h 46m,https://www.boxofficemojo.com/title/tt0842926/
1348. The Dreamers,tt0309987,7.1,2h 6m,1h 55m,https://www.boxofficemojo.com/title/tt0309987/
1349. The Two Popes,tt8404614,7.6,PG,2h 5m,https://www.boxofficemojo.com/title/tt8404614/
1350. About Schmidt,tt0257360,7.2,2003,2h 5m,https://www.boxofficemojo.com/title/tt0257360/
1351. J. Edgar,tt1616195,6.5,1h 49m,2h 17m,https://www.boxofficemojo.com/title/tt1616195/
1352. Charlie's Angels: Full Throttle,tt0305357,4.9,PG-13,1h 46m,https://www.boxofficemojo.com/title/tt0305357/
1353. Adipurush,tt12915716,2.7,2005,2h 59m,https://www.boxofficemojo.com/title/tt12915716/
1354. Okja,tt3967856,7.3,1h 58m,2h,https://www.boxofficemojo.com/title/tt3967856/
1355. Booksmart,tt1489887,7.1,PG-13,1h 42m,https://www.boxofficemojo.com/title/tt1489887/
1356. Carnage,tt1692486,7.1,2021,1h 20m,https://www.boxofficemojo.com/title/tt1692486/
1357. Journey to the Center of the Earth,tt0373051,5.8,1h 32m,1h 33m,https://www.boxofficemojo.com/title/tt0373051/
1358. One Hour Photo,tt0265459,6.8,R,1h 36m,https://www.boxofficemojo.com/title/tt0265459/
1359. The Watch,tt1298649,5.7,2007,1h 42m,https://www.boxofficemojo.com/title/tt1298649/
1360. The Lorax,tt1482459,6.4,2h 2m,1h 26m,https://www.boxofficemojo.com/title/tt1482459/
1361. Æon Flux,tt0402022,5.4,R,1h 33m,https://www.boxofficemojo.com/title/tt0402022/
1362. The Florida Project,tt5649144,7.6,2006,1h 51m,https://www.boxofficemojo.com/title/tt5649144/
1363. Halloween,tt0373883,6.0,2h 19m,1h 49m,https://www.boxofficemojo.com/title/tt0373883/
1364. The Kingdom,tt0431197,7.0,R,1h 50m,https://www.boxofficemojo.com/title/tt0431197/
1365. The Raid 2,tt2265171,7.9,2016,2h 30m,https://www.boxofficemojo.com/title/tt2265171/
1366. Nymphomaniac: Vol. I,tt1937390,6.9,1h 51m,1h 57m,https://www.boxofficemojo.com/title/tt1937390/
1367. Homefront,tt2312718,6.5,R,1h 40m,https://www.boxofficemojo.com/title/tt2312718/
1368. Infernal Affairs,tt0338564,8.0,2014,1h 41m,https://www.boxofficemojo.com/title/tt0338564/
1369. Gerald's Game,tt3748172,6.5,2h 45m,1h 43m,https://www.boxofficemojo.com/title/tt3748172/
1370. A Christmas Carol,tt1067106,6.8,PG-13,1h 36m,https://www.boxofficemojo.com/title/tt1067106/
1371. The Phantom of the Opera,tt0293508,7.2,2012,2h 23m,https://www.boxofficemojo.com/title/tt0293508/
1372. Tears of the Sun,tt0314353,6.6,1h 52m,2h 1m,https://www.boxofficemojo.com/title/tt0314353/
1373. Neighbors 2: Sorority Rising,tt4438848,5.7,PG-13,1h 32m,https://www.boxofficemojo.com/title/tt4438848/
1374. Hall Pass,tt0480687,5.9,2006,1h 45m,https://www.boxofficemojo.com/title/tt0480687/
1375. Safety Not Guaranteed,tt1862079,6.9,2h 16m,1h 26m,https://www.boxofficemojo.com/title/tt1862079/
1376. The Little Things,tt10016180,6.3,PG-13,2h 8m,https://www.boxofficemojo.com/title/tt10016180/
1377. Shazam! Fury of the Gods,tt10151854,5.9,2014,2h 10m,https://www.boxofficemojo.com/title/tt10151854/
1378. The Time Machine,tt0268695,6.0,1h 37m,1h 36m,https://www.boxofficemojo.com/title/tt0268695/
1379. Daddy's Home,tt1528854,6.2,R,1h 36m,https://www.boxofficemojo.com/title/tt1528854/
1380. Scary Movie 4,tt0362120,5.1,2010,1h 23m,https://www.boxofficemojo.com/title/tt0362120/
1381. The Crazies,tt0455407,6.5,1h 40m,1h 41m,https://www.boxofficemojo.com/title/tt0455407/
1382. Rebel Moon - Part One: A Child of Fire,tt14998742,5.6,PG-13,2h 13m,https://www.boxofficemojo.com/title/tt14998742/
1383. Eragon,tt0449010,5.1,2006,1h 44m,https://www.boxofficemojo.com/title/tt0449010/
1384. The Mitchells vs. the Machines,tt7979580,7.6,2h 6m,1h 54m,https://www.boxofficemojo.com/title/tt7979580/
1385. Parker,tt1904996,6.2,PG-13,1h 58m,https://www.boxofficemojo.com/title/tt1904996/
1386. Something's Gotta Give,tt0337741,6.7,2016,2h 8m,https://www.boxofficemojo.com/title/tt0337741/
1387. The Best Offer,tt1924396,7.8,2h 8m,2h 11m,https://www.boxofficemojo.com/title/tt1924396/
1388. Shershaah,tt10295212,8.3,R,2h 15m,https://www.boxofficemojo.com/title/tt10295212/
1389. Max Payne,tt0467197,5.3,2015,1h 40m,https://www.boxofficemojo.com/title/tt0467197/
1390. The Call,tt1911644,6.7,2h 22m,1h 34m,https://www.boxofficemojo.com/title/tt1911644/
1391. Scream VI,tt17663992,6.4,PG-13,2h 2m,https://www.boxofficemojo.com/title/tt17663992/
1392. The Good Dinosaur,tt1979388,6.7,2002,1h 33m,https://www.boxofficemojo.com/title/tt1979388/
1393. Australia,tt0455824,6.6,1h 50m,2h 45m,https://www.boxofficemojo.com/title/tt0455824/
1394. Y tu mamá también,tt0245574,7.7,R,1h 46m,https://www.boxofficemojo.com/title/tt0245574/
1395. Julie & Julia,tt1135503,7.0,2005,2h 3m,https://www.boxofficemojo.com/title/tt1135503/
1396. Anyone But You,tt26047818,6.1,2h 16m,1h 43m,https://www.boxofficemojo.com/title/tt26047818/
1397. Flags of Our Fathers,tt0418689,7.1,PG-13,2h 15m,https://www.boxofficemojo.com/title/tt0418689/
1398. Pacific Rim: Uprising,tt2557478,5.6,2011,1h 51m,https://www.boxofficemojo.com/title/tt2557478/
1399. Cars 3,tt3606752,6.7,1h 30m,1h 42m,https://www.boxofficemojo.com/title/tt3606752/
1400. This Is England,tt0480025,7.7,PG,1h 41m,https://www.boxofficemojo.com/title/tt0480025/
1401. Freddy vs. Jason,tt0329101,5.7,2021,1h 37m,https://www.boxofficemojo.com/title/tt0329101/
1402. You Were Never Really Here,tt5742374,6.7,1h 58m,1h 29m,https://www.boxofficemojo.com/title/tt5742374/
1403. Just Friends,tt0433400,6.2,PG-13,1h 36m,https://www.boxofficemojo.com/title/tt0433400/
1404. The Pale Blue Eye,tt14138650,6.6,2016,2h 8m,https://www.boxofficemojo.com/title/tt14138650/
1405. Spy Kids,tt0227538,5.6,2h 9m,1h 28m,https://www.boxofficemojo.com/title/tt0227538/
1406. Scooby-Doo,tt0267913,5.3,PG-13,1h 26m,https://www.boxofficemojo.com/title/tt0267913/
1407. Bombshell,tt6394270,6.8,2017,1h 49m,https://www.boxofficemojo.com/title/tt6394270/
1408. Downsizing,tt1389072,5.8,2h 12m,2h 15m,https://www.boxofficemojo.com/title/tt1389072/
1409. Let Me In,tt1228987,7.1,R,1h 56m,https://www.boxofficemojo.com/title/tt1228987/
1410. If I Stay,tt1355630,6.7,2006,1h 47m,https://www.boxofficemojo.com/title/tt1355630/
1411. Sex and the City,tt1000774,5.7,1h 50m,2h 25m,https://www.boxofficemojo.com/title/tt1000774/
1412. Step Up,tt0462590,6.5,R,1h 44m,https://www.boxofficemojo.com/title/tt0462590/
"1413. Love, Simon",tt5164432,7.5,2010,1h 50m,https://www.boxofficemojo.com/title/tt5164432/
1414. Percy Jackson: Sea of Monsters,tt1854564,5.7,1h 51m,1h 46m,https://www.boxofficemojo.com/title/tt1854564/
1415. Saw VI,tt1233227,6.0,PG-13,1h 30m,https://www.boxofficemojo.com/title/tt1233227/
1416. Final Destination 5,tt1622979,5.9,2019,1h 32m,https://www.boxofficemojo.com/title/tt1622979/
1417. Gods of Egypt,tt2404233,5.4,2h 15m,2h 7m,https://www.boxofficemojo.com/title/tt2404233/
1418. Exam,tt1258197,6.7,R,1h 41m,https://www.boxofficemojo.com/title/tt1258197/
1419. Ghost Rider: Spirit of Vengeance,tt1071875,4.3,2008,1h 36m,https://www.boxofficemojo.com/title/tt1071875/
1420. A Walk Among the Tombstones,tt0365907,6.5,1h 28m,1h 54m,https://www.boxofficemojo.com/title/tt0365907/
1421. Two Weeks Notice,tt0313737,6.2,PG-13,1h 41m,https://www.boxofficemojo.com/title/tt0313737/
1422. To All the Boys I've Loved Before,tt3846674,7.0,2009,1h 39m,https://www.boxofficemojo.com/title/tt3846674/
1423. Ghost World,tt0162346,7.3,1h 49m,1h 51m,https://www.boxofficemojo.com/title/tt0162346/
1424. Fast X,tt5433140,5.7,R,2h 21m,https://www.boxofficemojo.com/title/tt5433140/
1425. Why Him?,tt4501244,6.2,2001,1h 51m,https://www.boxofficemojo.com/title/tt4501244/
1426. Pearl,tt18925334,7.0,2h 26m,1h 43m,https://www.boxofficemojo.com/title/tt18925334/
1427. Lightyear,tt10298810,6.1,PG-13,1h 45m,https://www.boxofficemojo.com/title/tt10298810/
1428. Knock at the Cabin,tt15679400,6.1,2012,1h 40m,https://www.boxofficemojo.com/title/tt15679400/
1429. The Life of David Gale,tt0289992,7.5,1h 32m,2h 10m,https://www.boxofficemojo.com/title/tt0289992/
1430. The Commuter,tt1590193,6.3,PG-13,1h 44m,https://www.boxofficemojo.com/title/tt1590193/
1431. Den of Thieves,tt1259528,7.0,2002,2h 20m,https://www.boxofficemojo.com/title/tt1259528/
1432. The Brothers Grimm,tt0355295,5.9,1h 32m,1h 58m,https://www.boxofficemojo.com/title/tt0355295/
1433. Catwoman,tt0327554,3.4,PG-13,1h 44m,https://www.boxofficemojo.com/title/tt0327554/
1434. Brother Bear,tt0328880,6.9,2008,1h 25m,https://www.boxofficemojo.com/title/tt0328880/
1435. The Giver,tt0435651,6.4,1h 38m,1h 37m,https://www.boxofficemojo.com/title/tt0435651/
1436. The Ritual,tt5638642,6.3,R,1h 34m,https://www.boxofficemojo.com/title/tt5638642/
1437. Out of the Furnace,tt1206543,6.7,2012,1h 56m,https://www.boxofficemojo.com/title/tt1206543/
1438. Contraband,tt1524137,6.4,1h 43m,1h 49m,https://www.boxofficemojo.com/title/tt1524137/
1439. Bone Tomahawk,tt2494362,7.1,R,2h 12m,https://www.boxofficemojo.com/title/tt2494362/
1440. The Sum of All Fears,tt0164184,6.5,2005,2h 4m,https://www.boxofficemojo.com/title/tt0164184/
1441. Charlie Wilson's War,tt0472062,7.0,2h 24m,1h 42m,https://www.boxofficemojo.com/title/tt0472062/
1442. Sweet Home Alabama,tt0256415,6.2,R,1h 48m,https://www.boxofficemojo.com/title/tt0256415/
1443. Valentine's Day,tt0817230,5.7,2002,2h 5m,https://www.boxofficemojo.com/title/tt0817230/
1444. Soorarai Pottru,tt10189514,8.7,1h 58m,2h 33m,https://www.boxofficemojo.com/title/tt10189514/
1445. Alice Through the Looking Glass,tt2567026,6.2,R,1h 53m,https://www.boxofficemojo.com/title/tt2567026/
1446. The Foreigner,tt1615160,7.0,2012,1h 53m,https://www.boxofficemojo.com/title/tt1615160/
1447. Miami Vice,tt0430357,6.1,2h 37m,2h 12m,https://www.boxofficemojo.com/title/tt0430357/
1448. The Skeleton Key,tt0397101,6.5,R,1h 44m,https://www.boxofficemojo.com/title/tt0397101/
1449. Gemini Man,tt1025100,5.7,2016,1h 57m,https://www.boxofficemojo.com/title/tt1025100/
