Title,ID,Rating,Release Year,Duration
97. Al filo del mañana,tt1631867,"7,9",2007,1h 53m
98. Shrek,tt0126029,"7,9",2h 2m,1h 30m
99. 12 años de esclavitud,tt2024544,"8,1",18,2h 14m
100. El lado bueno de las cosas,tt1045658,"7,7",2014,2h 2m
101. Top Gun: Maverick,tt1745960,"8,2",1h 46m,2h 10m
102. Spider-Man: Homecoming,tt2250912,"7,4",12,2h 13m
103. Skyfall,tt1074638,"7,8",2012,2h 23m
104. Déjame salir,tt5052448,"7,8",2h 22m,1h 44m
105. Guerra mundial Z,tt0816711,"7,0",12,1h 56m
106. Thor: El mundo oscuro,tt1981115,"6,7",2019,1h 52m
107. Kingsman: Servicio secreto,tt2802144,"7,7",2h 12m,2h 9m
108. Ant-Man,tt0478970,"7,2",16,1h 57m
109. X-Men: Primera generación,tt1270798,"7,7",2001,2h 11m
110. Los juegos del hambre: En llamas,tt1951264,"7,5",1h 32m,2h 26m
111. Million Dollar Baby,tt0405159,"8,1",A,2h 12m
112. Escuadrón suicida,tt1386697,"5,9",2001,2h 3m
113. Spider-Man 2,tt0316654,"7,5",2h 15m,2h 7m
114. Distrito 9,tt1136608,"7,9",A,1h 52m
115. Ahora me ves...,tt1670345,"7,2",2015,1h 55m
116. Drive,tt0780504,"7,8",2h 18m,1h 40m
117. El hobbit: La desolación de Smaug,tt1170358,"7,8",7,2h 41m
118. The Amazing Spider-Man,tt0948470,"6,9",2011,2h 16m
119. Harry Potter y la cámara secreta,tt0295297,"7,4",2h 10m,2h 41m
120. Harry Potter y el prisionero de Azkaban,tt0304141,"7,9",7,2h 22m
121. El laberinto del fauno,tt0457430,"8,2",2011,1h 58m
122. El discurso del rey,tt1504320,"8,0",1h 52m,1h 58m
123. El curioso caso de Benjamin Button,tt0421715,"7,8",7,2h 46m
124. Wonder Woman,tt0451279,"7,3",2015,2h 21m
125. Spider-Man: Un nuevo universo,tt4633694,"8,4",2h 24m,1h 57m
126. 1917,tt8579674,"8,2",7,1h 59m
127. Piratas del Caribe: En el fin del mundo,tt0449088,"7,1",2002,2h 49m
128. Casino Royale,tt0381061,"8,0",2h 30m,2h 24m
129. Harry Potter y el cáliz de fuego,tt0330373,"7,7",13,2h 37m
130. La ciudad de las estrellas. La La Land,tt3783958,"8,0",2015,2h 8m
131. Rogue One: Una historia de Star Wars,tt3748528,"7,8",2h 21m,2h 13m
132. Deadpool 2,tt5463162,"7,6",7,1h 59m
133. Blade Runner 2049,tt1856101,"8,0",2021,2h 44m
134. Jurassic World,tt0369610,"6,9",2h 35m,2h 4m
135. Her,tt1798709,"8,0",12,2h 6m
136. Transformers,tt0418279,"7,1",2021,2h 24m
137. Star Wars: Los últimos jedi,tt2527336,"6,9",2h 28m,2h 32m
138. Sherlock Holmes,tt0988045,"7,6",7,2h 8m
139. Los odiosos ocho,tt3460252,"7,8",2011,2h 48m
140. Frozen: El reino del hielo,tt2294629,"7,4",1h 55m,1h 42m
141. La vida de Pi,tt0454876,"7,9",7,2h 7m
142. Birdman o (La inesperada virtud de la ignorancia),tt2562232,"7,7",2014,1h 59m
143. Ted,tt1637725,"6,9",2h 16m,1h 46m
144. Hacia rutas salvajes,tt0758758,"8,1",12,2h 28m
145. Prometheus,tt1446714,"7,0",2013,2h 4m
146. El ultimátum de Bourne,tt0440963,"8,0",2h 10m,1h 55m
147. Old Boy,tt0364569,"8,3",12,2h
148. Pozos de ambición,tt0469494,"8,2",2011,2h 38m
149. Spider-Man 3,tt0413300,"6,3",2h 4m,2h 19m
150. Harry Potter y la Orden del Fénix,tt0373889,"7,5",7,2h 18m
151. Supersalidos,tt0829482,"7,6",2010,1h 53m
152. Venganza,tt0936501,"7,7",1h 43m,1h 30m
153. Argo,tt1024648,"7,7",A,2h
154. Matrix Reloaded,tt0234215,"7,2",2014,2h 18m
155. El diario de Noa,tt0332280,"7,8",1h 39m,2h 3m
156. Baby Driver,tt3890160,"7,5",12,1h 53m
157. Bienvenidos a Zombieland,tt1156398,"7,5",2002,1h 28m
158. Ocean's Eleven: Hagan juego,tt0240772,"7,7",2h 1m,1h 56m
159. It,tt1396484,"7,3",A,2h 15m
160. Coco,tt2380307,"8,4",2015,1h 45m
161. No mires arriba,tt11286314,"7,2",2h 36m,2h 18m
162. Capitana Marvel,tt4154664,"6,8",16,2h 3m
163. Nightcrawler,tt2872718,"7,8",2012,1h 57m
164. Star Trek,tt0796366,"7,9",2h 49m,2h 7m
165. Zodiac,tt0443706,"7,7",7,2h 37m
166. Sin límites,tt1219289,"7,4",2001,1h 45m
167. Hasta el último hombre (Hacksaw Ridge),tt2119532,"8,1",2h 32m,2h 19m
168. Harry Potter y las Reliquias de la Muerte: Parte 1,tt0926084,"7,7",A,2h 26m
169. Tenet,tt6723592,"7,3",2001,2h 30m
170. Un lugar tranquilo,tt6644200,"7,5",2h 4m,1h 30m
171. Harry Potter y el misterio del príncipe,tt0417741,"7,6",A,2h 33m
172. Green Book,tt6966692,"8,2",2010,2h 10m
173. Infiltrados en clase,tt1232829,"7,2",2h 4m,1h 49m
174. Bohemian Rhapsody,tt1727824,"7,9",12,2h 14m
175. El gran Gatsby,tt1343092,"7,2",2008,2h 23m
176. Looper,tt1276104,"7,4",2h,1h 59m
177. Zombies Party (Una noche... de muerte),tt0365748,"7,9",13,1h 39m
178. Ex_Machina,tt0470752,"7,7",2019,1h 48m
179. Kick-Ass: Listo para machacar,tt1250777,"7,6",2h 41m,1h 57m
180. Gru: Mi villano favorito,tt1323594,"7,6",16,1h 35m
181. Diamante de sangre,tt0450259,"8,0",2006,2h 23m
182. Minority Report,tt0181689,"7,6",1h 57m,2h 25m
183. Watchmen,tt0409459,"7,6",18,2h 42m
184. X-Men 2,tt0290334,"7,4",2016,2h 14m
"185. Yo, robot",tt0343818,"7,1",2h 27m,1h 55m
186. El hobbit: La batalla de los cinco ejércitos,tt2310332,"7,4",12,2h 24m
187. Barbie,tt1517268,"6,8",2017,1h 54m
188. The Bourne Identity: El caso Bourne,tt0258463,"7,8",2h 17m,1h 59m
189. El origen del planeta de los simios,tt1318514,"7,6",16,1h 45m
190. Troya,tt0332452,"7,3",2013,2h 43m
191. Spider-Man: Lejos de casa,tt6320628,"7,4",1h 31m,2h 9m
"192. Crazy, Stupid, Love.",tt1570728,"7,4",12,1h 58m
193. En busca de la felicidad,tt0454921,"8,0",2009,1h 57m
194. Múltiple,tt4972582,"7,3",1h 40m,1h 57m
195. (500) días juntos,tt1022603,"7,7",18,1h 35m
196. Piratas del Caribe: En mareas misteriosas,tt1298650,"6,6",2001,2h 17m
197. Expediente Warren: The Conjuring,tt1457767,"7,5",1h 53m,1h 52m
198. The Kashmir Files,tt10811166,"8,5",13,2h 50m
199. Tres anuncios en las afueras,tt5027774,"8,1",2005,1h 55m
200. Zootrópolis,tt2948356,"8,0",2h 20m,1h 48m
