Title,Title,ID,Rating,Release Year,Duration,BoxOfficeMojo_Link,Worldwide Gross,Domestic Gross,International Gross,Director,Cast and Crew
Happy Death Day 2U,Happy Death Day 2U (2019),tt8155288,6.2,2019,1h 40m,https://www.boxofficemojo.com/title/tt8155288/,"$64,600,152","$28,148,130","$36,452,022",Christopher Landon,"Jessica Rothe (Tree Gelbman), Israel Broussard (Carter Davis), Phi Vu (Ryan Phan), Suraj Sharma (Samar Ghosh)"
What's Your Number?,What's Your Number? (2011),tt0770703,6.0,2011,1h 46m,https://www.boxofficemojo.com/title/tt0770703/,"$30,426,096","$14,011,084","$16,415,012",Mark Mylod,"Anna Faris (Ally Darling), Chris Evans (Colin Shea), Ari Graynor (Daisy Darling), Blythe Danner (Ava Darling)"
The Raven,The Raven (2012),tt1486192,6.4,2012,1h 50m,https://www.boxofficemojo.com/title/tt1486192/,"$29,699,345","$16,008,272","$13,691,073",Edgar Allan Poe,"John Cusack (Edgar Allan Poe), Alice Eve (Emily Hamilton), Luke Evans (Detective Fields), Brendan Gleeson (Capt. Charles Hamilton)"
World Trade Center,World Trade Center (2006),tt0469641,6.0,2006,2h 9m,https://www.boxofficemojo.com/title/tt0469641/,"$163,247,198","$70,278,893","$92,968,305",Oliver Stone,"Nicolas Cage (John McLoughlin), Michael Peña (Will Jimeno), Maria Bello (Donna McLoughlin), Maggie Gyllenhaal (Allison Jimeno)"
Young Adult,Young Adult (2011),tt1625346,6.3,2011,1h 34m,https://www.boxofficemojo.com/title/tt1625346/,"$22,939,027","$16,311,571","$6,627,456",Jason Reitman,"Charlize Theron (Mavis Gary), Patrick Wilson (Buddy Slade), Patton Oswalt (Matt Freehauf), Elizabeth Reaser (Beth Slade)"
Legend of the Guardians: The Owls of Ga'Hoole,Legend of the Guardians: The Owls of Ga'Hoole (2010),tt1219342,6.9,2010,1h 37m,https://www.boxofficemojo.com/title/tt1219342/,"$140,073,390","$55,675,313","$84,398,077",Zack Snyder,"Jim Sturgess (Soren), Hugo Weaving (Noctus/Grimble), David Wenham (Digger), Emily Barclay (Gylfie)"
Mile 22,Mile 22 (2018),tt4560436,6.1,2018,1h 34m,https://www.boxofficemojo.com/title/tt4560436/,"$66,308,758","$36,108,758","$30,200,000",Peter Berg,"Mark Wahlberg (James Silva), Lauren Cohan (Alice Kerr), Iko Uwais (Li Noor), John Malkovich (Bishop)"
The Hundred-Foot Journey,The Hundred-Foot Journey (2014),tt2980648,7.3,2014,2h 2m,https://www.boxofficemojo.com/title/tt2980648/,"$90,425,868","$54,240,821","$36,185,047",Lasse Hallström,"Helen Mirren (Madame Mallory), Om Puri (Papa), Manish Dayal (Hassan), Charlotte Le Bon (Marguerite)"
Barfi!,Barfi! (2012),tt2082197,8.1,2012,2h 31m,https://www.boxofficemojo.com/title/tt2082197/,"$4,490,134","$2,804,874","$1,685,260",Anurag Basu,"Ranbir Kapoor (Murphy/Barfi), Priyanka Chopra Jonas (Jhilmil Chatterjee), Ileana D'Cruz (Shruti Ghosh Sengupta), Amar Gupta (Actor)"
Zindagi Na Milegi Dobara,Zindagi Na Milegi Dobara (2011),tt1562872,8.2,2011,2h 35m,https://www.boxofficemojo.com/title/tt1562872/,"$5,192,743","$3,108,485","$2,084,258",Zoya Akhtar,"Hrithik Roshan (Arjun Saluja), Farhan Akhtar (Imraan Qureshi), Abhay Deol (Kabir Dewan), Katrina Kaif (Laila)"
Scoop,Scoop (2006),tt0457513,6.6,2006,1h 36m,https://www.boxofficemojo.com/title/tt0457513/,"$39,220,946","$10,525,717","$28,695,229",Woody Allen,"Scarlett Johansson (Sondra Pransky), Hugh Jackman (Peter Lyman), Jim Dunk (Funeral Speaker), Robert Bathurst (Strombel's Co-Workers)"
The Wedding Planner,The Wedding Planner (2001),tt0209475,5.3,2001,1h 43m,https://www.boxofficemojo.com/title/tt0209475/,"$94,728,529","$60,400,856","$34,327,673",Adam Shankman,"Jennifer Lopez (Mary Fiore), Matthew McConaughey (Steve Edison), Bridgette Wilson-Sampras (Fran Donolly), Justin Chambers (Massimo)"
Meg 2: The Trench,Meg 2: The Trench (2023),tt9224104,5.0,2023,1h 56m,https://www.boxofficemojo.com/title/tt9224104/,"$397,800,317","$82,600,317","$315,200,000",Ben Wheatley,"Jason Statham (Jonas Taylor), Jing Wu (Jiuming Zhang), Shuya Sophia Cai (Meiying), Cliff Curtis (Mac)"
Blockers,Blockers (2018),tt2531344,6.2,2018,1h 42m,https://www.boxofficemojo.com/title/tt2531344/,"$94,019,120","$60,311,495","$33,707,625",Kay Cannon,"Leslie Mann (Lisa), John Cena (Mitchell), Ike Barinholtz (Hunter), Kathryn Newton (Julie)"
Elite Squad 2: The Enemy Within,Elite Squad 2: The Enemy Within (2010),tt1555149,8.0,2010,1h 55m,https://www.boxofficemojo.com/title/tt1555149/,"$63,618,850","$100,119","$63,518,731",José Padilha,"Wagner Moura (Roberto Nascimento), Irandhir Santos (Diogo Fraga), André Ramiro (Matias), Milhem Cortaz (Comandante Fábio)"
Sky Captain and the World of Tomorrow,Sky Captain and the World of Tomorrow (2004),tt0346156,6.1,2004,1h 46m,https://www.boxofficemojo.com/title/tt0346156/,"$57,947,036","$37,762,677","$20,184,359",Kerry Conran,"Gwyneth Paltrow (Polly Perkins), Jude Law (Sky Captain), Angelina Jolie (Franky), Giovanni Ribisi (Dex)"
Beasts of No Nation,Beasts of No Nation (2015),tt1365050,7.7,2015,2h 17m,https://www.boxofficemojo.com/title/tt1365050/,"$90,777","$90,777",–,Cary Joji Fukunaga,"Abraham Attah (Agu), Emmanuel Affadzi (Dike), Ricky Adelayitar (Village Constable), Andrew Adote (Ecomod 2nd Lieutenant)"
Spirit: Stallion of the Cimarron,Spirit: Stallion of the Cimarron (2002),tt0166813,7.2,2002,1h 23m,https://www.boxofficemojo.com/title/tt0166813/,"$122,563,539","$73,280,117","$49,283,422",Kelly Asbury,"Matt Damon (Spirit), James Cromwell (The Colonel), Daniel Studi (Little Creek), Chopper Bernet (Sgt. Adams)"
Scary Stories to Tell in the Dark,Scary Stories to Tell in the Dark (2019),tt3387520,6.2,2019,1h 48m,https://www.boxofficemojo.com/title/tt3387520/,"$104,545,505","$68,947,075","$35,598,430",André Øvredal,"Zoe Colletti (Stella Nicholls), Michael Garza (Ramon Morales), Gabriel Rush (Auggie Hilderbrandt), Austin Abrams (Tommy Milner)"
The Duchess,The Duchess (2008),tt0864761,6.9,2008,1h 50m,https://www.boxofficemojo.com/title/tt0864761/,"$43,343,384","$13,848,978","$29,494,406",Saul Dibb,"Keira Knightley (Georgiana), Ralph Fiennes (The Duke), Dominic Cooper (Charles Grey), Charlotte Rampling (Lady Spencer)"
Stay,Stay (2005),tt0371257,6.7,2005,1h 39m,https://www.boxofficemojo.com/title/tt0371257/,"$8,483,797","$3,626,883","$4,856,914",Marc Forster,"Ewan McGregor (Sam Foster), Naomi Watts (Lila Culpepper), Ryan Gosling (Henry Letham), Kate Burton (Mrs. Letham)"
The Inbetweeners,The Inbetweeners (2011),tt1716772,6.7,2011,1h 37m,https://www.boxofficemojo.com/title/tt1716772/,"$88,823,111","$36,000","$88,787,111",Ben Palmer,"James Buckley (Jay Cartwright), Blake Harrison (Neil Sutherland), Joe Thomas (Simon Cooper), Simon Bird (Will McKenzie)"
"Spring, Summer, Fall, Winter... and Spring","Spring, Summer, Fall, Winter... and Spring (2003)",tt0374546,8.0,2003,1h 43m,https://www.boxofficemojo.com/title/tt0374546/,"$8,842,229","$2,380,788","$6,461,441",Kim Ki-duk,"Kim Ki-duk (Adult Monk), Oh Yeong-su (Old Monk), Jong-ho Kim (Child Monk), Kim Young-min (Young Adult Monk)"
Five Feet Apart,Five Feet Apart (2019),tt6472976,7.2,2019,1h 56m,https://www.boxofficemojo.com/title/tt6472976/,"$92,559,910","$45,729,221","$46,830,689",Justin Baldoni,"Haley Lu Richardson (Stella), Cole Sprouse (Will), Moises Arias (Poe), Kimberly Hebert Gregory (Barb)"
Lady Vengeance,Lady Vengeance (2005),tt0451094,7.5,2005,1h 55m,https://www.boxofficemojo.com/title/tt0451094/,"$23,835,242","$211,667","$23,622,482",Park Chan-wook,"Nam-mi Kang (Choir Member 1), Jeong-nam Choi (Choir Member 2), Hye-Sook Go (Choir Member 3), Bok-hwa Baek (Choir Member 4)"
Deliver Us from Evil,Deliver Us from Evil (2014),tt2377322,6.2,2014,1h 58m,https://www.boxofficemojo.com/title/tt2377322/,"$87,937,815","$30,577,122","$57,360,693",Scott Derrickson,"Eric Bana (Sarchie), Edgar Ramírez (Mendoza), Olivia Munn (Jen), Chris Coy (Jimmy)"
The Wailing,The Wailing (2016),tt5215952,7.4,2016,2h 36m,https://www.boxofficemojo.com/title/tt5215952/,"$49,851,770","$786,633","$49,065,137",Na Hong-jin,"Jun Kunimura (Japanese Man), Hwang Jung-min (Il-gwang), Kwak Do-won (Jong-goo), Chun Woo-hee (The Mysterious Woman)"
Nanny McPhee,Nanny McPhee (2005),tt0396752,6.6,2005,1h 37m,https://www.boxofficemojo.com/title/tt0396752/,"$123,276,807","$47,144,110","$76,132,697",Kirk Jones,"Emma Thompson (Nanny McPhee), Colin Firth (Mr. Brown), Angela Lansbury (Aunt Adelaide), Kelly Macdonald (Evangeline)"
Centurion,Centurion (2010),tt1020558,6.3,2010,1h 37m,https://www.boxofficemojo.com/title/tt1020558/,"$6,890,432","$123,570","$6,766,862",Neil Marshall,"Michael Fassbender (Centurion Quintus Dias), Dominic West (General Titus Virilus), Olga Kurylenko (Etain), Andreas Wisniewski (Commander Gratus)"
Krampus,Krampus (2015),tt3850590,6.2,2015,1h 38m,https://www.boxofficemojo.com/title/tt3850590/,"$61,548,707","$42,725,475","$18,823,232",Michael Dougherty,"Adam Scott (Tom), Toni Collette (Sarah), David Koechner (Howard), Allison Tolman (Linda)"
Semi-Pro,Semi-Pro (2008),tt0839980,5.8,2008,1h 31m,https://www.boxofficemojo.com/title/tt0839980/,"$44,004,502","$33,479,698","$10,524,804",Kent Alterman,"Will Ferrell (Jackie Moon), Woody Harrelson (Monix), André 3000 (Clarence), Maura Tierney (Lynn)"
Four Lions,Four Lions (2010),tt1341167,7.3,2010,1h 37m,https://www.boxofficemojo.com/title/tt1341167/,"$6,149,356","$304,616","$5,844,740",Christopher Morris,"Will Adamsdale (Alex), Riz Ahmed (Omar), Adeel Akhtar (Faisal), Kayvan Novak (Waj)"
Solaris,Solaris (2002),tt0307479,6.2,2002,1h 39m,https://www.boxofficemojo.com/title/tt0307479/,"$30,002,758","$14,973,382","$15,029,376",Steven Soderbergh,"George Clooney (Kelvin), Natascha McElhone (Rheya), Ulrich Tukur (Gibarian), Viola Davis (Gordon)"
Bloodshot,Bloodshot (2020),tt1634106,5.7,2020,1h 49m,https://www.boxofficemojo.com/title/tt1634106/,"$39,861,118","$12,561,824","$27,299,294",Dave Wilson,"Vin Diesel (Bloodshot), Eiza González (KT), Sam Heughan (Jimmy Dalton), Toby Kebbell (Martin Axe)"
Caché,Caché (2005),tt0387898,7.3,2005,1h 57m,https://www.boxofficemojo.com/title/tt0387898/,"$16,197,824","$3,647,381","$12,550,443",Michael Haneke,"Daniel Auteuil (Georges Laurent), Juliette Binoche (Anne Laurent), Maurice Bénichou (Majid), Annie Girardot (Georges's Mom)"
Fruitvale Station,Fruitvale Station (2013),tt2334649,7.5,2013,1h 25m,https://www.boxofficemojo.com/title/tt2334649/,"$17,385,830","$16,101,339","$1,284,491",Ryan Coogler,"Michael B. Jordan (Oscar Grant), Melonie Diaz (Sophina), Octavia Spencer (Wanda), Kevin Durand (Officer Caruso)"
Freedom Writers,Freedom Writers (2007),tt0463998,7.6,2007,2h 3m,https://www.boxofficemojo.com/title/tt0463998/,"$43,095,175","$36,605,602","$6,489,573",Richard LaGravenese,"Hilary Swank (Erin Gruwell), Imelda Staunton (Margaret Campbell), Patrick Dempsey (Scott Casey), Scott Glenn (Steve Gruwell)"
The Ruins,The Ruins (2008),tt0963794,5.9,2008,1h 30m,https://www.boxofficemojo.com/title/tt0963794/,"$22,818,256","$17,432,844","$5,385,412",Carter Smith,"Shawn Ashmore (Eric), Jena Malone (Amy), Jonathan Tucker (Jeff), Laura Ramsey (Stacy)"
The Last Castle,The Last Castle (2001),tt0272020,6.9,2001,2h 11m,https://www.boxofficemojo.com/title/tt0272020/,"$27,642,707","$18,244,060","$9,398,647",Rod Lurie,"Robert Redford (General Irwin), James Gandolfini (Col. Winter), Mark Ruffalo (Yates), Steve Burton (Capt. Peretz)"
Sisu,Sisu (2022),tt14846026,6.9,2022,1h 31m,https://www.boxofficemojo.com/title/tt14846026/,"$14,281,199","$7,265,622","$7,015,577",Jalmari Helander,"Jorma Tommila (Aatami), Aksel Hennie (Bruno), Jack Doolan (Wolf), Mimosa Willamo (Aino)"
Christopher Robin,Christopher Robin (2018),tt4575576,7.2,2018,1h 44m,https://www.boxofficemojo.com/title/tt4575576/,"$197,744,825","$99,215,042","$98,529,335",Marc Forster,"Ewan McGregor (Christopher Robin), Hayley Atwell (Evelyn Robin), Bronte Carmichael (Madeline Robin), Mark Gatiss (Giles Winslow)"
The Uninvited,The Uninvited (2009),tt0815245,6.3,2009,1h 27m,https://www.boxofficemojo.com/title/tt0815245/,"$41,633,384","$28,596,818","$13,036,566",Charles Guard,"Emily Browning (Anna), Arielle Kebbel (Alex), Elizabeth Banks (Rachel), David Strathairn (Steven)"
Hidalgo,Hidalgo (2004),tt0317648,6.7,2004,2h 16m,https://www.boxofficemojo.com/title/tt0317648/,"$108,040,622","$67,303,450","$40,737,172",Joe Johnston,"Viggo Mortensen (Frank Hopkins), Omar Sharif (Sheikh Riyadh), Zuleikha Robinson (Jazira), Louise Lombard (Lady Anne Davenport)"
Plane,Plane (2023),tt5884796,6.5,2023,1h 47m,https://www.boxofficemojo.com/title/tt5884796/,"$74,515,586","$32,111,181","$42,404,405",Jean-François Richet,"Gerard Butler (Brodie Torrance), Mike Colter (Louis Gaspare), Tony Goldwyn (Scarsdale), Yoson An (Samuel Dele)"
The Christmas Chronicles,The Christmas Chronicles (2018),tt2990140,7.0,2018,1h 44m,https://www.boxofficemojo.com/title/tt2990140/,–,–,–,Clay Kaytis,"Kurt Russell (Santa Claus), Darby Camp (Kate), Judah Lewis (Teddy), Oliver Hudson (Doug)"
Chak De! India,Chak De! India (2007),tt0871510,8.1,2007,2h 33m,https://www.boxofficemojo.com/title/tt0871510/,"$21,505,244","$1,120,404","$20,384,840",Shimit Amin,"Shah Rukh Khan (Kabir Khan), Vidya Malvade (Vidya Sharma), Sagarika Ghatge (Preety Sabharwal), Shilpa Shukla (Bindia Naik)"
The Mothman Prophecies,The Mothman Prophecies (2002),tt0265349,6.4,2002,1h 59m,https://www.boxofficemojo.com/title/tt0265349/,"$55,305,279","$35,746,370","$19,558,909",Mark Pellington,"Richard Gere (John Klein), Laura Linney (Connie Mills), David Eigenberg (Ed Fleischman), Bob Tracey (Cyrus Bills)"
Notes on a Scandal,Notes on a Scandal (2006),tt0465551,7.4,2006,1h 32m,https://www.boxofficemojo.com/title/tt0465551/,"$49,814,568","$17,510,118","$32,304,274",Richard Eyre,"Cate Blanchett (Sheba Hart), Judi Dench (Barbara Covett), Andrew Simpson (Steven Connolly), Tom Georgeson (Ted Mawson)"
The Sea Inside,The Sea Inside (2004),tt0369702,8.0,2004,2h 6m,https://www.boxofficemojo.com/title/tt0369702/,"$43,731,621","$2,104,923","$41,626,698",Alejandro Amenábar,"Javier Bardem (Ramón Sampedro), Belén Rueda (Julia), Lola Dueñas (Rosa), Mabel Rivera (Manuela)"
Fool's Gold,Fool's Gold (2008),tt0770752,5.7,2008,1h 52m,https://www.boxofficemojo.com/title/tt0770752/,"$111,231,041","$70,231,041","$41,000,000",Andy Tennant,"Matthew McConaughey (Finn), Kate Hudson (Tess), Donald Sutherland (Nigel Honeycutt), Alexis Dziena (Gemma Honeycutt)"
Saw X,Saw X (2023),tt21807222,6.6,2023,1h 58m,https://www.boxofficemojo.com/title/tt21807222/,"$112,202,480","$53,607,898","$58,594,582",Kevin Greutert,"Tobin Bell (John Kramer), Shawnee Smith (Amanda Young), Synnøve Macody Lund (Cecilia Pederson), Steven Brand (Parker Sears)"
Daddy's Home 2,Daddy's Home 2 (2017),tt5657846,6.0,2017,1h 40m,https://www.boxofficemojo.com/title/tt5657846/,"$180,613,824","$104,029,443","$76,584,381",Sean Anders,"Will Ferrell (Brad), Mark Wahlberg (Dusty), Mel Gibson (Kurt), John Lithgow (Don)"
Before I Go to Sleep,Before I Go to Sleep (2014),tt1726592,6.3,2014,1h 32m,https://www.boxofficemojo.com/title/tt1726592/,"$17,669,776","$3,242,457","$14,427,319",Rowan Joffe,"Nicole Kidman (Christine), Colin Firth (Ben), Mark Strong (Dr. Nasch), Anne-Marie Duff (Claire)"
Johnny English Strikes Again,Johnny English Strikes Again (2018),tt6921996,6.2,2018,1h 29m,https://www.boxofficemojo.com/title/tt6921996/,"$158,972,570","$4,412,170","$154,560,329",David Kerr,"Rowan Atkinson (Johnny English), Ben Miller (Bough), Olga Kurylenko (Ophelia Bhuletova), Emma Thompson (Prime Minister)"
Trumbo,Trumbo (2015),tt3203606,7.4,2015,2h 4m,https://www.boxofficemojo.com/title/tt3203606/,"$11,430,025","$7,857,741","$3,572,284",Dalton Trumbo,"Bryan Cranston (Dalton Trumbo), Diane Lane (Cleo Trumbo), Helen Mirren (Hedda Hopper), Louis C.K. (Arlen Hird)"
Beasts of the Southern Wild,Beasts of the Southern Wild (2012),tt2125435,7.2,2012,1h 33m,https://www.boxofficemojo.com/title/tt2125435/,"$21,107,746","$12,795,746","$8,312,000",Benh Zeitlin,"Quvenzhané Wallis (Hushpuppy), Dwight Henry (Wink), Levy Easterly (Jean Battiste), Lowell Landes (Walrus)"
Sex and the City 2,Sex and the City 2 (2010),tt1261945,4.5,2010,2h 26m,https://www.boxofficemojo.com/title/tt1261945/,"$290,745,055","$95,347,692","$195,397,363",Michael Patrick King,"Sarah Jessica Parker (Carrie Bradshaw), Kim Cattrall (Samantha Jones), Kristin Davis (Charlotte York), Cynthia Nixon (Miranda Hobbes)"
Project Almanac,Project Almanac (2015),tt2436386,6.4,2015,1h 46m,https://www.boxofficemojo.com/title/tt2436386/,"$33,213,241","$22,348,241","$10,865,000",Dean Israelite,"Amy Landecker (Kathy Raskin), Sofia Black-D'Elia (Jessie Pierce), Virginia Gardner (Christina Raskin), Jonny Weston (David Raskin)"
Cabin Fever,Cabin Fever (2002),tt0303816,5.6,2002,1h 33m,https://www.boxofficemojo.com/title/tt0303816/,"$30,553,394","$21,158,188","$9,395,206",Eli Roth,"Jordan Ladd (Karen), Rider Strong (Paul), James DeBello (Bert), Cerina Vincent (Marcy)"
The Kings of Summer,The Kings of Summer (2013),tt2179116,7.1,2013,1h 35m,https://www.boxofficemojo.com/title/tt2179116/,"$1,501,595","$1,315,590","$186,005",Jordan Vogt-Roberts,"Nick Robinson (Joe), Gabriel Basso (Patrick), Moises Arias (Biaggio), Nick Offerman (Frank)"
Master,Master (2021),tt10579952,7.4,2021,2h 59m,https://www.boxofficemojo.com/title/tt10579952/,"$28,692,230",–,"$28,692,230",Lokesh Kanagaraj,"Joseph Vijay (John 'JD' Durairaj), Vijay Sethupathi (Bhavani), Malavika Mohanan (Charulatha 'Charu' Prasad), Arjun Das (Das)"
The Woman in the Window,The Woman in the Window (2021),tt6111574,5.7,2021,1h 40m,https://www.boxofficemojo.com/title/tt6111574/,–,–,–,Joe Wright,"Amy Adams (Anna Fox), Gary Oldman (Alistair Russell), Anthony Mackie (Ed), Fred Hechinger (Ethan Russell)"
Star Trek: Nemesis,Star Trek: Nemesis (2002),tt0253754,6.4,2002,1h 56m,https://www.boxofficemojo.com/title/tt0253754/,"$67,336,470","$43,254,409","$24,082,061",Stuart Baird,"Patrick Stewart (Jean-Luc Picard), Jonathan Frakes (William Riker), Brent Spiner (Data/B-4), LeVar Burton (Geordi La Forge)"
Felon,Felon (2008),tt1117385,7.4,2008,1h 44m,https://www.boxofficemojo.com/title/tt1117385/,–,–,–,Ric Roman Waugh,"Stephen Dorff (Wade Porter), Marisol Nichols (Laura Porter), Vincent Miller (Michael Porter), Anne Archer (Maggie)"
Midnight Special,Midnight Special (2016),tt2649554,6.6,2016,1h 52m,https://www.boxofficemojo.com/title/tt2649554/,"$7,112,282","$3,712,282","$3,400,000",Jeff Nichols,"Michael Shannon (Roy), Joel Edgerton (Lucas), Kirsten Dunst (Sarah), Adam Driver (Sevier)"
Miss Sloane,Miss Sloane (2016),tt4540710,7.5,2016,2h 12m,https://www.boxofficemojo.com/title/tt4540710/,"$9,102,164","$3,500,605","$5,600,941",John Madden,"Jessica Chastain (Madeline Elizabeth Sloane), Mark Strong (Rodolfo Vittorio Schmidt), Gugu Mbatha-Raw (Esme Manucharian), Michael Stuhlbarg (Pat Connors)"
Youth,Youth (2015),tt3312830,7.3,2015,2h 4m,https://www.boxofficemojo.com/title/tt3312830/,"$23,469,540","$2,703,296","$20,766,244",Paolo Sorrentino,"Michael Caine (Fred Ballinger), Harvey Keitel (Mick Boyle), Rachel Weisz (Lena Ballinger), Jane Fonda (Brenda Morel)"
Killer Joe,Killer Joe (2011),tt1726669,6.7,2011,1h 42m,https://www.boxofficemojo.com/title/tt1726669/,"$4,633,668","$1,987,762","$2,645,906",William Friedkin,"Matthew McConaughey (Killer Joe Cooper), Emile Hirsch (Chris Smith), Juno Temple (Dottie Smith), Thomas Haden Church (Ansel Smith)"
"You, Me and Dupree","You, Me and Dupree (2006)",tt0463034,5.6,2006,1h 50m,https://www.boxofficemojo.com/title/tt0463034/,"$130,628,903","$75,628,110","$55,000,793",Anthony Russo,"Kate Hudson (Molly), Owen Wilson (Dupree), Matt Dillon (Carl), Michael Douglas (Mr. Thompson)"
All Is Lost,All Is Lost (2013),tt2017038,6.9,2013,1h 46m,https://www.boxofficemojo.com/title/tt2017038/,"$13,627,519","$6,263,670","$7,363,849",J.C. Chandor,Robert Redford (Our Man)
Ultraviolet,Ultraviolet (2006),tt0370032,4.4,2006,1h 28m,https://www.boxofficemojo.com/title/tt0370032/,"$31,070,211","$18,535,812","$12,534,399",Kurt Wimmer,"Milla Jovovich (Violet Song Jat Shariff), Cameron Bright (Six), Nick Chinlund (Ferdinand Daxus), Sebastien Andrieu (Nerva)"
Morning Glory,Morning Glory (2010),tt1126618,6.5,2010,1h 47m,https://www.boxofficemojo.com/title/tt1126618/,"$60,040,976","$31,011,732","$29,029,244",Roger Michell,"Rachel McAdams (Becky), Harrison Ford (Mike Pomeroy), Diane Keaton (Colleen Peck), Noah Bean (First Date)"
The Night Before,The Night Before (2015),tt3530002,6.4,2015,1h 41m,https://www.boxofficemojo.com/title/tt3530002/,"$52,395,996","$43,047,372","$9,348,624",Jonathan Levine,"Joseph Gordon-Levitt (Ethan Miller), Seth Rogen (Isaac Greenberg), Jillian Bell (Betsy Greenberg), Lizzy Caplan (Diana)"
Super,Super (2010),tt1512235,6.7,2010,1h 36m,https://www.boxofficemojo.com/title/tt1512235/,"$422,618","$327,716","$94,902",James Gunn,"Rainn Wilson (Frank Darbo), Elliot Page (Libby), Liv Tyler (Sarah), Kevin Bacon (Jacques)"
Final Fantasy: The Spirits Within,Final Fantasy: The Spirits Within (2001),tt0173840,6.4,2001,1h 46m,https://www.boxofficemojo.com/title/tt0173840/,"$85,131,830","$32,131,830","$53,000,000",Hironobu Sakaguchi,"Alec Baldwin (Captain Gray Edwards), Steve Buscemi (Neil), Ming-Na Wen (Doctor Aki Ross), Ving Rhames (Ryan)"
The Dig,The Dig (2021),tt3661210,7.1,2021,1h 52m,https://www.boxofficemojo.com/title/tt3661210/,$693,–,$693,Simon Stone,"Carey Mulligan (Edith Pretty), Ralph Fiennes (Basil Brown), Lily James (Peggy Piggott), Johnny Flynn (Rory Lomax)"
"I, Frankenstein","I, Frankenstein (2014)",tt1418377,5.1,2014,1h 32m,https://www.boxofficemojo.com/title/tt1418377/,"$76,801,179","$19,075,290","$57,725,889",Stuart Beattie,"Aaron Eckhart (Adam), Bill Nighy (Naberius), Miranda Otto (Leonore), Virginie Le Brun (Elizabeth Frankenstein)"
Confessions of a Shopaholic,Confessions of a Shopaholic (2009),tt1093908,5.9,2009,1h 44m,https://www.boxofficemojo.com/title/tt1093908/,"$108,394,089","$44,277,350","$64,116,739",P.J. Hogan,"Isla Fisher (Rebecca Bloomwood), Hugh Dancy (Luke Brandon), Krysten Ritter (Suze), Joan Cusack (Jane Bloomwood)"
The Invasion,The Invasion (2007),tt0427392,5.9,2007,1h 39m,https://www.boxofficemojo.com/title/tt0427392/,"$40,170,558","$15,074,191","$25,096,367",Oliver Hirschbiegel,"Nicole Kidman (Carol Bennell), Daniel Craig (Ben Driscoll), Jeremy Northam (Tucker Kaufman), Jackson Bond (Oliver)"
Good Boys,Good Boys (2019),tt6977338,6.7,2019,1h 30m,https://www.boxofficemojo.com/title/tt6977338/,"$111,173,598","$83,140,306","$28,033,292",Gene Stupnitsky,"Jacob Tremblay (Max), Keith L. Williams (Lucas), Brady Noon (Thor), Molly Gordon (Hannah)"
Jackie,Jackie (2016),tt1619029,6.6,2016,1h 40m,https://www.boxofficemojo.com/title/tt1619029/,"$29,778,202","$13,960,394","$15,817,808",John F. Kennedy,"Natalie Portman (Jackie Kennedy), Peter Sarsgaard (Bobby Kennedy), Greta Gerwig (Nancy Tuckerman), Billy Crudup (The Journalist)"
Dumbo,Dumbo (2019),tt3861390,6.3,2019,1h 52m,https://www.boxofficemojo.com/title/tt3861390/,"$353,284,621","$114,766,307","$238,518,314",Tim Burton,"Colin Farrell (Holt Farrier), Michael Keaton (V. A. Vandevere), Danny DeVito (Max Medici), Eva Green (Colette Marchant)"
Broken City,Broken City (2013),tt1235522,6.1,2013,1h 49m,https://www.boxofficemojo.com/title/tt1235522/,"$34,737,199","$19,701,164","$15,036,035",Allen Hughes,"Mark Wahlberg (Billy Taggart), Russell Crowe (Mayor Hostetler), Catherine Zeta-Jones (Cathleen Hostetler), Jeffrey Wright (Carl Fairbanks)"
Mank,Mank (2020),tt10618286,6.8,2020,2h 11m,https://www.boxofficemojo.com/title/tt10618286/,–,–,–,Herman J. Mankiewicz,"Gary Oldman (Herman Mankiewicz), Amanda Seyfried (Marion Davies), Lily Collins (Rita Alexander), Tom Pelphrey (Joe Mankiewicz)"
The Spy Who Dumped Me,The Spy Who Dumped Me (2018),tt6663582,6.0,2018,1h 57m,https://www.boxofficemojo.com/title/tt6663582/,"$75,339,459","$33,562,069","$41,777,390",Susanna Fogel,"Justin Theroux (Drew), Kate McKinnon (Morgan), Blanka Györfi-Tóth (Little Girl), Mila Kunis (Audrey)"
The Weather Man,The Weather Man (2005),tt0384680,6.6,2005,1h 42m,https://www.boxofficemojo.com/title/tt0384680/,"$19,126,398","$12,482,775","$6,643,623",Gore Verbinski,"Nicolas Cage (David Spritz), Hope Davis (Noreen), Nicholas Hoult (Mike), Michael Caine (Robert Spritzel)"
Bridget Jones's Baby,Bridget Jones's Baby (2016),tt1473832,6.4,2016,2h 3m,https://www.boxofficemojo.com/title/tt1473832/,"$211,952,420","$24,252,420","$187,700,000",Sharon Maguire,"Renée Zellweger (Bridget), Gemma Jones (Mum), Jim Broadbent (Dad), Sally Phillips (Shazzer)"
Abduction,Abduction (2011),tt1600195,5.1,2011,1h 46m,https://www.boxofficemojo.com/title/tt1600195/,"$82,087,155","$28,087,155","$54,000,000",John Singleton,"Taylor Lautner (Nathan), Lily Collins (Karen), Alfred Molina (Burton), Jake Andolina (CIA Man)"
