Title,Title,ID,Rating,Release Year,Duration,BoxOfficeMojo_Link,Worldwide Gross,Domestic Gross,International Gross,Director,Cast and Crew
Avengers: Infinity War,Avengers: Infinity War (2018),tt4154756,8.4,2018,2h 29m,https://www.boxofficemojo.com/title/tt4154756/,"$2,052,415,039","$678,815,482","$1,373,599,557",Anthony Russo,"Robert Downey Jr. (Tony Stark/Iron Man), Chris Hemsworth (Thor), Mark Ruffalo (Bruce Banner/Hulk), Chris Evans (Steve Rogers/Captain America)"
Pirates of the Caribbean: The Curse of the Black Pearl,Pirates of the Caribbean: The Curse of the Black Pearl (2003),tt0325980,8.1,2003,2h 23m,https://www.boxofficemojo.com/title/tt0325980/,"$654,264,546","$305,413,918","$348,850,097",Gore Verbinski,"Johnny Depp (Jack Sparrow), Geoffrey Rush (Barbossa), Orlando Bloom (Will Turner), Keira Knightley (Elizabeth Swann)"
WALL·E,WALL·E (2008),tt0910970,8.4,2008,1h 38m,https://www.boxofficemojo.com/title/tt0910970/,"$527,403,656","$223,808,164","$303,586,398",Andrew Stanton,"Ben Burtt (WALL·E/M-O), Elissa Knight (EVE), Jeff Garlin (Captain), Fred Willard (Shelby Forthright - BNL CEO)"
Kill Bill: Vol. 1,Kill Bill: Vol. 1 (2003),tt0266697,8.2,2003,1h 51m,https://www.boxofficemojo.com/title/tt0266697/,"$180,908,413","$70,099,045","$110,807,031",Quentin Tarantino,"Uma Thurman (The Bride), David Carradine (Bill), Daryl Hannah (Elle Driver), Michael Madsen (Budd)"
V for Vendetta,V for Vendetta (2005),tt0434409,8.1,2005,2h 12m,https://www.boxofficemojo.com/title/tt0434409/,"$134,686,457","$70,511,035","$64,175,422",James McTeigue,"Hugo Weaving (V/William Rookwood), Natalie Portman (Evey), Rupert Graves (Dominic), Stephen Rea (Finch)"
Deadpool,Deadpool (2016),tt1431045,8.0,2016,1h 48m,https://www.boxofficemojo.com/title/tt1431045/,"$782,837,347","$363,070,709","$419,766,082",Tim Miller,"Ryan Reynolds (Wade/Deadpool), Morena Baccarin (Vanessa), T.J. Miller (Weasel), Ed Skrein (Ajax)"
Up,Up (2009),tt1049413,8.3,2009,1h 36m,https://www.boxofficemojo.com/title/tt1049413/,"$735,102,136","$293,004,164","$442,094,938",Pete Docter,"Edward Asner (Carl Fredricksen), Jordan Nagai (Russell), John Ratzenberger (Construction Foreman Tom), Christopher Plummer (Charles Muntz)"
Iron Man,Iron Man (2008),tt0371746,7.9,2008,2h 6m,https://www.boxofficemojo.com/title/tt0371746/,"$585,796,247","$319,034,126","$266,762,121",Jon Favreau,"Robert Downey Jr. (Tony Stark), Gwyneth Paltrow (Pepper Potts), Terrence Howard (Rhodey), Jeff Bridges (Obadiah Stane)"
Mad Max: Fury Road,Mad Max: Fury Road (2015),tt1392190,8.1,2015,2h,https://www.boxofficemojo.com/title/tt1392190/,"$380,437,267","$154,280,290","$226,156,977",George Miller,"Tom Hardy (Max Rockatansky), Charlize Theron (Imperator Furiosa), Nicholas Hoult (Nux), Zoë Kravitz (Toast the Knowing)"
Finding Nemo,Finding Nemo (2003),tt0266543,8.2,2003,1h 40m,https://www.boxofficemojo.com/title/tt0266543/,"$941,637,960","$380,843,261","$560,794,699",Andrew Stanton,"Albert Brooks (Marlin), Ellen DeGeneres (Dory), Alexander Gould (Nemo), Willem Dafoe (Gill)"
Catch Me If You Can,Catch Me If You Can (2002),tt0264464,8.1,2002,2h 21m,https://www.boxofficemojo.com/title/tt0264464/,"$352,114,312","$164,615,351","$187,498,961",Steven Spielberg,"Leonardo DiCaprio (Frank Abagnale Jr.), Tom Hanks (Carl Hanratty), Christopher Walken (Frank Abagnale), Martin Sheen (Roger Strong)"
Eternal Sunshine of the Spotless Mind,Eternal Sunshine of the Spotless Mind (2004),tt0338013,8.3,2004,1h 48m,https://www.boxofficemojo.com/title/tt0338013/,"$73,315,707","$34,400,301","$38,902,664",Michel Gondry,"Jim Carrey (Joel Barish), Kate Winslet (Clementine Kruczynski), Tom Wilkinson (Dr. Mierzwiak), Gerry Robert Byrne (Train Conductor)"
Gone Girl,Gone Girl (2014),tt2267998,8.1,2014,2h 29m,https://www.boxofficemojo.com/title/tt2267998/,"$370,890,259","$167,767,189","$203,122,897",David Fincher,"Ben Affleck (Nick Dunne), Rosamund Pike (Amy Dunne), Neil Patrick Harris (Desi Collings), Tyler Perry (Tanner Bolt)"
No Country for Old Men,No Country for Old Men (2007),tt0477348,8.2,2007,2h 2m,https://www.boxofficemojo.com/title/tt0477348/,"$171,632,777","$74,283,625","$97,344,115",Ethan Coen,"Tommy Lee Jones (Ed Tom Bell), Javier Bardem (Anton Chigurh), Josh Brolin (Llewelyn Moss), Woody Harrelson (Carson Wells)"
Whiplash,Whiplash (2014),tt2582802,8.5,2014,1h 46m,https://www.boxofficemojo.com/title/tt2582802/,"$50,360,880","$14,003,391","$36,348,474",Damien Chazelle,"Miles Teller (Andrew), J.K. Simmons (Fletcher), Melissa Benoist (Nicole), Paul Reiser (Jim Neimann)"
