Title,ID,Rating,Release Year,Duration
101. Top Gun: Maverick,tt1745960,8.2,1h 46m,2h 10m
102. Skyfall,tt1074638,7.8,R,2h 23m
103. Spider-Man: Homecoming,tt2250912,7.4,2012,2h 13m
104. World War Z,tt0816711,7.0,2h 22m,1h 56m
105. Thor: The Dark World,tt1981115,6.7,PG-13,1h 52m
106. Get Out,tt5052448,7.8,2019,1h 44m
107. X-Men: First Class,tt1270798,7.7,2h 12m,2h 11m
108. Ant-Man,tt0478970,7.2,R,1h 57m
109. Kingsman: The Secret Service,tt2802144,7.7,2001,2h 9m
110. The Hunger Games: Catching Fire,tt1951264,7.5,1h 32m,2h 26m
111. Million Dollar Baby,tt0405159,8.1,G,2h 12m
112. Suicide Squad,tt1386697,5.9,2001,2h 3m
113. Spider-Man 2,tt0316654,7.5,2h 15m,2h 7m
114. District 9,tt1136608,7.9,PG-13,1h 52m
115. Now You See Me,tt1670345,7.2,2015,1h 55m
116. Drive,tt0780504,7.8,2h 18m,1h 40m
117. The Hobbit: The Desolation of Smaug,tt1170358,7.8,PG-13,2h 41m
118. The Amazing Spider-Man,tt0948470,6.9,2011,2h 16m
119. Pan's Labyrinth,tt0457430,8.2,2h 10m,1h 58m
120. The King's Speech,tt1504320,8.0,PG-13,1h 58m
121. Harry Potter and the Chamber of Secrets,tt0295297,7.4,2011,2h 41m
122. Harry Potter and the Prisoner of Azkaban,tt0304141,7.9,1h 52m,2h 22m
123. Wonder Woman,tt0451279,7.3,R,2h 21m
124. The Curious Case of Benjamin Button,tt0421715,7.8,2015,2h 46m
125. Pirates of the Caribbean: At World's End,tt0449088,7.1,2h 24m,2h 49m
126. Casino Royale,tt0381061,8.0,PG-13,2h 24m
127. 1917,tt8579674,8.2,2002,1h 59m
128. Spider-Man: Into the Spider-Verse,tt4633694,8.4,2h 30m,1h 57m
129. Rogue One: A Star Wars Story,tt3748528,7.8,R,2h 13m
130. Harry Potter and the Goblet of Fire,tt0330373,7.7,2015,2h 37m
131. La La Land,tt3783958,8.0,2h 21m,2h 8m
132. Deadpool 2,tt5463162,7.6,PG-13,1h 59m
133. Blade Runner 2049,tt1856101,8.0,2021,2h 44m
134. Jurassic World,tt0369610,6.9,2h 28m,2h 4m
135. Her,tt1798709,8.0,PG-13,2h 6m
136. Transformers,tt0418279,7.1,2021,2h 24m
137. Star Wars: Episode VIII - The Last Jedi,tt2527336,6.9,2h 35m,2h 32m
138. Sherlock Holmes,tt0988045,7.6,PG-13,2h 8m
139. Frozen,tt2294629,7.4,2011,1h 42m
140. The Hateful Eight,tt3460252,7.8,1h 55m,2h 48m
141. Life of Pi,tt0454876,7.9,PG-13,2h 7m
142. Birdman or (The Unexpected Virtue of Ignorance),tt2562232,7.7,2014,1h 59m
143. Ted,tt1637725,6.9,2h 16m,1h 46m
144. Into the Wild,tt0758758,8.1,PG-13,2h 28m
145. Prometheus,tt1446714,7.0,2013,2h 4m
146. The Bourne Ultimatum,tt0440963,8.0,2h 10m,1h 55m
147. Oldboy,tt0364569,8.3,PG-13,2h
148. There Will Be Blood,tt0469494,8.2,2011,2h 38m
149. Spider-Man 3,tt0413300,6.3,2h 4m,2h 19m
